"%s %s cycle.","Период: %s %s."
"* Required Fields","* Обязательные поля"
"The requested Payment Method is not available.","The requested Payment Method is not available."
"Title","Заголовок"
"Trial Billing Amount","Стоимость услуги на пробный период"
"Trial Billing Frequency","Количество оплат за период действия услуги"
"Trial Billing Period Unit","Период действия услуги"
"Trial Period","Trial Period"
"Trial billing amount is wrong.","Trial billing amount is wrong."
"Trial billing period unit is wrong.","Trial billing period unit is wrong."
"Trial period frequency is wrong.","Trial period frequency is wrong."
"Trial period max cycles is wrong.","Trial period max cycles is wrong."
"Two Weeks","Две недели"
"Unable to save Billing Agreement:","Unable to save Billing Agreement:"
"Unit for billing during the subscription period.","Единица измерения периода."
"Unsupported currency code: %s.","Unsupported currency code: %s."
"Void action is not available.","Void action is not available."
"Week","Неделя"
"What is this?","Что это?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Если Вы укажете значение ""Да"", то при сбое оплаты первоначального взноса система, несмотря на это, предоставит покупателю услугу, а первоначальный взнос попытается взять тогда, когда подойдёт время следующего платежа. Если же Вы укажете значение ""Нет"", то при сбое оплаты первоначального взноса, действие услуги будет приостановлено."
"Wrong %s specified.","Wrong %s specified."
"Wrong or empty billing amount specified.","Wrong or empty billing amount specified."
"Year","Год"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
